source,provenance,title,make_model,condition,price_eur,price_label,year,mileage_km,range_km,battery_kwh,efficiency_kwh_per_100_km,body_type,location,listing_url,image_url
willhaben,real,Leapmotor C10 Elektro 70kWh Design,Leapmotor C10,used,33990,€ 33.990 inkl. MwSt,2025,10,420,69.0,17.5,SUV / Geländewagen,7400 Burgenland,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/leapmotor-c10-elektro-70kwh-design-1370499586/,
willhaben,real,Mercedes-Benz EQS 580 4MATIC,Mercedes-Benz EQS,used,82500,€ 82.500 inkl. MwSt,2023,33000,,,,Limousine,5760 Salzburg,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/mercedes-benz-eqs-580-4matic-1008100548/,https://cache.willhaben.at/mmo/8/100/810/0548_119595961_hoved.jpg
willhaben,real,BYD Sealion 7 Excellence AWD 91.5 kWh 530PS LEASING...,BYD Sealion 7,new,50080,€ 50.080 inkl. MwSt,2026,10,570,82.0,16.6,SUV / Geländewagen,4481 Oberösterreich,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/byd-sealion-7-excellence-awd-91-5-kwh-530ps-leasing-1307844109/,https://cache.willhaben.at/mmo/9/130/784/4109_-1857121502_n_hoved.jpg
willhaben,real,"Nissan Micra 52kWh Advance Aut. *ab € 28.990,-*",Nissan Micra,new,31490,€ 31.490 inkl. MwSt,2026,0,,,,Limousine,4040 Oberösterreich,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/nissan-micra-52kwh-advance-aut-ab-28-990-905575318/,https://cache.willhaben.at/mmo/8/905/575/318_-1898849977_n_hoved.jpg
willhaben,real,Ford Puma E-Gen 43kWh Premium,Ford Puma,new,33990,€ 33.990 inkl. MwSt,2026,0,,,,SUV / Geländewagen,3580 Niederösterreich,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/ford-puma-e-gen-43kwh-premium-2021482940/,https://cache.willhaben.at/mmo/0/202/148/2940_2053549431_hoved.jpg
willhaben,real,Opel Grandland Electric 73kWh AWD Ultimate,Opel Grandland,new,55245,€ 55.245 inkl. MwSt,2026,4,,,,SUV / Geländewagen,8280 Steiermark,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/opel-grandland-electric-73kwh-awd-ultimate-902634274/,https://cache.willhaben.at/mmo/4/902/634/274_934861527_hoved.jpg
willhaben,real,Mercedes-Benz EQA 250 Aut.,Mercedes-Benz EQA,used,30950,€ 30.950 inkl. MwSt,2023,50700,560,70.0,15.7,SUV / Geländewagen,3300 Niederösterreich,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/mercedes-benz-eqa-250-aut-1189449153/,https://cache.willhaben.at/mmo/3/118/944/9153_1791348355_n_hoved.jpg
willhaben,real,Frühlings Aktion Geco Buena U2 mit 4 Sitzplätze...,Sonstige Sonstige,new,7990,€ 7.990 inkl. MwSt,2026,0,,,,Mopedauto,8411 Steiermark,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/fruehlings-aktion-geco-buena-u2-mit-4-sitzplaetze-2035134390/,https://cache.willhaben.at/mmo/0/203/513/4390_-390463173_n_hoved.jpg
willhaben,real,Ford Explorer Elektro 77kWh Premium,Ford Explorer,new,45900,€ 45.900 inkl. MwSt,2026,0,530,77.0,16.0,SUV / Geländewagen,3580 Niederösterreich,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/ford-explorer-elektro-77kwh-premium-1334412061/,https://cache.willhaben.at/mmo/1/133/441/2061_-1667318100_n_hoved.jpg
willhaben,real,"Opel Rocks Edition Elektromotor 6 kW (8,2 PS)",Opel Rocks,used,7990,€ 7.990 inkl. MwSt,2026,4,,,,Mopedauto,8430 Steiermark,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/opel-rocks-edition-elektromotor-6-kw-8-2-ps-1828846108/,https://cache.willhaben.at/mmo/8/182/884/6108_655608269_hoved.jpg
willhaben,real,VW ID.5 Pro Performance 150kW / 77kWh,VW ID.5,used,30900,€ 30.900 inkl. MwSt,2022,12400,,,,Limousine,2601 Niederösterreich,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/vw-id-5-pro-performance-150kw-77kwh-1899094108/,https://cache.willhaben.at/mmo/8/189/909/4108_378400930_hoved.jpg
willhaben,real,Ford Explorer Elektro Dual Motor 79kWh Premium AWD* ...,Ford Explorer,used,47890,€ 47.890 inkl. MwSt,2026,5000,530,77.0,16.0,SUV / Geländewagen,1220 Wien,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/ford-explorer-elektro-dual-motor-79kwh-premium-awd-1458810593/,https://cache.willhaben.at/mmo/3/145/881/0593_963831702_n_hoved.jpg
willhaben,real,Audi Q4 e-tron 45 quattro S-Line 82kWh Aut LED RADAR,Audi Q4,used,37290,€ 37.290 inkl. MwSt,2023,56721,520,77.0,16.6,SUV / Geländewagen,9220 Kärnten,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/audi-q4-e-tron-45-quattro-s-line-82kwh-aut-led-radar-841117697/,
willhaben,real,VW ID.4 ID. 4 Pro / 77kWh...LED/Navi/SH,VW ID.4,used,30987,€ 30.987 inkl. MwSt,2022,34900,,,,Limousine,6410 Tirol,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/vw-id-4-id-4-pro-77kwh-led-navi-sh-1827710061/,https://cache.willhaben.at/mmo/1/182/771/0061_129755537_n_hoved.jpg
willhaben,real,Peugeot e-2008 GT,Peugeot e-2008,used,17450,€ 17.450 inkl. MwSt,2021,72801,345,50.0,16.0,SUV / Geländewagen,6330 Tirol,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/peugeot-e-2008-gt-2097551056/,https://cache.willhaben.at/mmo/6/209/755/1056_1262675316_n_hoved.jpg
willhaben,real,Polestar 3 Long Range Dual Motor mit Performance Paket,Polestar 3,used,75990,€ 75.990 inkl. MwSt,2025,5000,,,,SUV / Geländewagen,1220 Wien,https://www.willhaben.at/iad/gebrauchtwagen/d/auto/polestar-3-long-range-dual-motor-mit-performance-paket-1275052522/,https://cache.willhaben.at/mmo/2/127/505/2522_-749339395_n_hoved.jpg
